http://british-library.georeferencer.com/id/,path,title,link
002OSD000000001U00017000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000001U00017000.tif,Ashburton(002OSD000000001U00017000),http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000001u00017000.html
002OSD000000001U00018000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000001U00018000.tif,Ashburton(002OSD000000001U00018000),http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000001u00018000.html
002OSD000000004U00289000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000004U00289000.tif,Aberystwyth 4,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000004u00289000.html
002OSD000000004U00306000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000004U00306000.tif,Aberdovey,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000004u00306000.html
002OSD000000005U00341000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000005U00341000.tif,"Axmouth, Devon",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000005u00341000.html
002OSD000000007U00034000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000007U00034000.tif,Axbridge,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000007u00034000.html
002OSD000000007U00053000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000007U00053000.tif,Andover,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000007u00053000.html
002OSD000000007U00057000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000007U00057000.tif,Alresford 7,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000007u00057000.html
002OSD000000008U00060000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000008U00060000.tif,Arundel 8,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000008u00060000.html
002OSD000000008U00079000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000008U00079000.tif,Alton,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000008u00079000.html
002OSD000000009U00108000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000009U00108000.tif,Aylesbury,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000009u00108000.html
002OSD000000013U00244000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000013U00244000.tif,Alford,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000013u00244000.html
002OSD000000013U00263000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000013U00263000.tif,Arran Mowddy,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000013u00263000.html
002OSD000000013U00275000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000013U00275000.tif,Aberystwyth 13,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000013u00275000.html
002OSD000000013U00284000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000013U00284000.tif,Abermaw,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000013u00284000.html
002OSD000000014U00317000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000014U00317000.tif,Ashbourne,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000014u00317000.html
002OSD000000019U00056000,2019_06\2019-02 Zoomify Geo - Folder 2\Collection British FDRIVE One Standardised 002-000\002OSD000000019U00056000.tif,Alresford 19,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000019u00056000.html
002OSD000000022U00150000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000022U00150000.tif,Aberdare,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000022u00150000.html
002OSD000000022U00152000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000022U00152000.tif,Abergavenny,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd000000022u00152000.html
002OSD00000027BU00442000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD00000027BU00442000.tif,Addington (Kent),http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/a/002osd00000027bu00442000.html
002OSD000000001U00030000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000001U00030000.tif,Bovey Tracey,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000001u00030000.html
002OSD000000001U00045000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000001U00045000.tif,Bath 1,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000001u00045000.html
002OSD000000001U00058000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000001U00058000.tif,"Bishop's Waltham, Southampton",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000001u00058000.html
